Trust_in_Others,Happiness,Social_Meeting_Frequency,Social_Activity_Level,Education_Years,Unemployed_And_Looking,Main_Activity,Income_Feeling,Importance_of_Understanding_Others,Importance_of_Behaving_Properly,Importance_of_Recognition
7,8,6,3,18,0,66,2,2,2,4
2,8,6,2,13,0,66,1,2,2,2
7,8,5,1,11,0,6,2,1,1,3
7,10,6,3,12,0,66,1,3,1,2
0,10,2,1,9,0,66,4,1,1,1
4,7,6,3,11,0,66,1,3,2,1
8,8,7,3,12,0,66,2,2,2,2
7,8,5,2,11,0,66,2,3,3,3
7,7,6,4,12,0,66,2,3,3,3
9,9,6,3,13,0,66,2,3,2,2
6,7,5,3,12,0,66,3,3,3,3
2,9,6,3,12,0,66,2,1,6,1
7,8,5,3,13,0,66,2,1,3,2
7,7,4,2,12,0,66,3,2,2,2
9,10,6,3,11,0,66,1,3,3,3
8,9,6,3,12,0,66,2,2,3,3
9,9,7,5,9,0,66,8,2,1,1
7,9,6,4,9,0,66,1,2,2,3
6,9,6,3,16,0,66,1,1,2,2
8,10,4,8,11,0,66,2,1,1,3
7,8,4,3,11,0,66,3,1,2,3
7,9,3,2,11,0,66,2,2,2,2
7,8,3,3,11,0,66,1,2,2,2
8,10,6,3,14,0,66,1,3,4,3
2,8,2,4,8,0,66,2,6,2,2
7,7,5,2,9,0,66,2,2,2,3
1,5,2,1,9,0,66,2,3,3,3
0,5,6,3,12,0,66,2,4,2,4
9,9,4,2,18,0,1,1,1,4,3
5,6,2,2,11,0,66,2,3,3,3
1,6,5,2,9,0,66,2,2,2,1
5,9,5,3,12,1,66,3,1,1,1
5,9,4,3,12,0,66,1,1,1,1
6,7,4,2,8,0,66,2,3,88,88
10,10,5,3,11,0,66,2,2,2,2
8,9,6,3,12,0,66,1,2,4,3
5,9,6,3,18,0,66,1,2,2,3
6,8,3,1,8,0,66,2,2,1,1
7,6,5,2,14,0,66,2,3,3,4
3,8,6,4,9,0,66,2,2,2,2
6,8,3,8,11,0,66,2,4,4,4
7,8,5,3,16,0,66,2,1,4,3
6,8,6,3,14,0,66,2,4,2,3
6,10,5,4,16,0,66,1,1,1,1
9,9,6,3,21,0,66,1,2,2,2
3,8,3,2,12,0,66,1,3,2,2
1,5,6,1,9,0,66,3,2,1,1
5,8,7,2,12,0,66,3,3,88,3
8,4,5,2,77,0,66,1,1,3,4
5,7,6,2,8,0,66,1,2,1,2
3,8,6,3,12,0,66,2,3,1,1
7,8,5,3,11,0,66,2,2,2,2
8,9,6,3,12,0,66,1,3,3,5
8,8,4,2,20,0,66,3,1,1,2
9,6,6,3,12,0,66,2,2,3,3
7,9,3,1,8,0,66,2,2,2,2
7,8,4,2,10,0,66,2,2,2,2
8,10,4,2,14,0,66,1,1,4,2
6,8,4,3,12,0,66,1,2,2,3
7,6,6,3,88,0,66,1,1,2,4
3,9,5,4,1,0,66,1,2,6,2
8,8,4,3,13,0,66,2,1,1,1
9,9,2,1,13,0,66,1,1,2,2
8,8,6,4,13,0,66,2,2,2,1
8,9,5,3,10,0,66,7,1,6,5
6,1,5,2,10,0,66,4,3,4,3
2,9,5,3,11,0,66,1,3,3,2
2,7,4,4,12,0,66,2,1,1,3
8,9,5,3,12,0,66,1,1,1,1
9,9,7,3,11,0,66,1,2,3,2
8,7,5,2,4,0,66,2,1,3,6
8,8,4,3,18,0,66,2,3,4,3
9,9,5,3,12,0,66,1,1,1,1
5,10,6,4,9,0,1,2,1,1,3
6,7,6,4,12,0,66,2,2,2,2
6,6,4,3,14,0,66,2,2,2,1
7,8,5,3,12,0,66,2,2,2,3
5,5,5,3,11,0,66,1,3,3,1
7,10,5,3,12,0,66,2,2,2,2
5,8,5,1,15,0,66,1,3,3,2
7,6,4,4,4,0,66,2,2,1,1
7,9,4,3,12,0,66,2,4,2,2
8,8,4,3,13,0,66,2,1,1,1
7,8,4,2,13,0,66,1,1,1,3
4,4,2,1,13,0,66,4,4,2,4
5,7,6,3,9,0,66,2,2,1,3
7,10,5,3,14,0,66,2,1,3,3
8,9,4,2,12,0,66,2,4,2,2
4,5,6,3,12,0,66,2,1,1,1
0,10,6,4,11,0,66,2,2,4,4
7,9,4,3,18,0,66,1,2,1,2
5,8,5,3,11,0,66,2,2,4,2
6,7,5,2,11,0,66,2,2,1,2
3,10,7,8,17,0,66,1,1,1,1
5,8,4,3,10,0,66,2,2,2,3
7,9,5,3,12,0,66,1,3,3,3
5,6,6,4,9,0,66,2,3,4,3
5,10,5,8,19,0,66,2,1,2,3
8,9,6,4,88,0,66,3,5,2,3
4,7,3,2,12,0,66,2,4,1,3
6,8,6,3,12,0,66,2,2,2,3
8,9,4,3,8,0,66,2,1,1,1
8,7,5,2,13,0,1,2,2,3,1
10,9,6,2,18,0,6,1,2,2,1
6,9,6,3,11,0,66,1,3,2,1
7,7,5,2,11,0,66,2,3,2,2
4,9,4,2,20,0,66,1,3,3,3
8,9,6,3,11,0,66,2,2,1,3
5,4,4,2,9,0,66,2,66,66,66
6,6,5,3,15,0,66,2,2,1,1
5,9,5,2,13,0,66,1,2,2,2
7,8,6,3,19,0,66,1,1,1,2
6,7,6,2,20,0,66,2,3,2,3
8,9,6,2,12,0,66,1,3,2,2
7,7,4,3,10,0,66,1,3,2,2
6,8,4,2,9,0,66,2,2,3,3
10,8,6,3,9,0,66,1,2,3,2
8,8,4,3,11,0,66,2,1,1,1
5,10,6,4,13,0,66,1,3,3,4
8,9,6,4,17,0,66,2,1,5,4
7,8,4,3,16,0,66,2,1,1,1
6,8,3,2,12,0,66,2,2,2,4
8,7,6,3,12,0,66,2,3,3,3
10,9,6,3,12,0,66,2,1,2,2
9,10,6,4,9,0,66,2,1,2,1
7,9,6,3,13,0,66,1,3,4,4
5,9,6,3,12,0,66,1,3,2,2
6,10,4,3,20,0,66,1,2,4,3
4,9,4,3,12,0,66,1,2,2,3
5,8,5,3,16,0,66,2,4,3,1
6,8,4,3,12,0,66,2,2,3,3
8,10,7,4,12,0,66,2,1,1,2
1,8,6,2,9,0,66,2,1,1,1
7,2,6,3,20,0,66,3,2,4,3
8,9,6,3,12,0,66,2,2,2,3
7,7,5,2,9,0,66,3,88,88,88
5,4,4,3,14,0,66,2,2,2,3
5,7,6,3,11,0,66,3,2,3,2
5,7,7,4,12,0,66,2,2,1,1
5,9,5,3,14,0,66,1,3,1,1
7,8,5,2,9,0,66,2,2,1,1
5,8,2,1,17,0,66,1,1,1,2
7,9,4,4,12,0,66,1,1,1,1
7,9,4,2,24,0,66,1,2,2,6
5,10,6,1,12,0,66,2,2,1,6
5,8,4,2,8,0,66,2,2,3,4
7,7,5,2,8,0,66,2,3,2,3
10,10,4,2,12,0,66,2,1,5,4
7,8,5,2,11,0,66,2,3,1,4
6,9,6,3,12,0,66,2,1,4,2
0,6,3,2,16,0,66,3,2,4,2
